Transect,mean,Year
101,5.00,2017
102,1.50,2017
103,6.00,2017
105,4.00,2017
107,5.33,2017
109,4.67,2017
116,2.67,2017
118,6.33,2017
119,3.33,2017
120,NA,2017
121,NA,2017
122,NA,2017
201,4.67,2017
202,11.67,2017
203,5.00,2017
204,4.67,2017
205,5.33,2017
206,NA,2017
207,NA,2017
301,8.00,2017
305,7.00,2017
306,5.67,2017
307,5.67,2017
404,6.00,2017
407,5.67,2017
411,5.67,2017
412,5.00,2017
413,6.00,2017
414,5.00,2017
415,NA,2017
416,NA,2017
501,7.00,2017
502,4.67,2017
505,8.33,2017
506,NA,2017
602,5.33,2017
605,6.00,2017
606,6.00,2017
101,5.33,2018
102,2.00,2018
103,7.00,2018
105,3.33,2018
107,5.67,2018
109,5.00,2018
116,4.67,2018
118,7.00,2018
119,5.67,2018
120,8.33,2018
121,8.67,2018
122,7.33,2018
201,7.33,2018
202,7.67,2018
203,4.67,2018
204,9.33,2018
205,8.33,2018
206,10.00,2018
207,9.00,2018
301,23.33,2018
305,9.33,2018
306,10.33,2018
307,7.67,2018
404,7.00,2018
407,6.67,2018
411,5.67,2018
412,7.33,2018
413,7.00,2018
414,6.33,2018
415,8.67,2018
416,8.33,2018
501,8.33,2018
502,8.67,2018
505,8.00,2018
506,8.00,2018
602,7.33,2018
605,8.00,2018
606,7.33,2018
101,6.33,2019
102,2.00,2019
103,11.67,2019
105,5.67,2019
107,5.67,2019
109,6.00,2019
116,7.00,2019
118,7.00,2019
119,8.00,2019
120,9.00,2019
121,10.67,2019
122,8.00,2019
201,10.00,2019
202,8.33,2019
203,8.00,2019
204,9.33,2019
205,8.33,2019
206,7.00,2019
207,8.33,2019
301,11.67,2019
305,8.67,2019
306,8.00,2019
307,8.33,2019
404,9.67,2019
407,7.33,2019
411,8.67,2019
412,5.33,2019
413,7.33,2019
414,6.33,2019
415,10.00,2019
416,7.67,2019
501,10.00,2019
502,10.33,2019
505,11.33,2019
506,10.67,2019
602,9.33,2019
605,8.67,2019
606,10.00,2019
101,8.00,2020
102,2.00,2020
103,10.33,2020
105,6.33,2020
107,6.67,2020
109,7.00,2020
116,7.00,2020
118,10.00,2020
119,7.67,2020
120,11.67,2020
121,11.00,2020
122,8.67,2020
201,9.67,2020
202,9.00,2020
203,7.00,2020
204,8.67,2020
205,7.67,2020
206,10.33,2020
207,8.67,2020
301,13.33,2020
305,11.00,2020
306,11.33,2020
307,9.33,2020
404,14.00,2020
407,7.00,2020
411,12.33,2020
412,11.33,2020
413,12.67,2020
414,9.67,2020
415,11.67,2020
416,8.67,2020
501,10.67,2020
502,13.00,2020
505,13.67,2020
506,12.00,2020
602,9.67,2020
605,10.67,2020
606,10.33,2020
