,pema17,pema18,pema19,pema20
1,2.056151435,2.666684659,1.07293727,1.507420633
2,1.912203037,2.479993651,1.307681864,1.507420633
3,1.568939636,2.034805018,1.07293727,1.507420633
4,1.682135303,2.181611884,1.150347419,1.507420633
5,1.597059299,2.071274255,1.092167223,1.507420633
6,1.568939636,2.034805018,1.07293727,1.507420633
7,1.969902403,2.554825695,1.347140233,1.507420633
8,1.941063464,2.517423606,1.327418396,1.864953277
9,1.710695478,2.218652434,1.16987862,1.507420633
10,2.363387568,3.065148443,1.616229553,1.507420633
11,2.51991205,3.268149753,1.723270605,2.421104885
12,2.921788708,3.789355682,1.998098543,2.421104885
13,3.088347011,4.005370157,2.112001339,1.507420633
14,1.600948074,2.076317724,1.094826606,1.507420633
15,3.096102307,4.015428233,2.117304887,1.643618149
16,1.57281027,2.039824959,1.075584248,2.973845808
17,2.498083905,3.239840175,1.70834318,2.445134178
18,2.617804528,3.395109453,1.773856518,1.754044037
19,3.008747863,3.902135627,2.057566554,1.507420633
20,1.829604823,2.372869542,1.251196133,1.757864992
21,3.089335441,4.006652081,2.112677288,1.561576675
22,3.111559352,4.035474941,2.127875364,1.507420633
23,2.641333756,3.425625216,1.806306224,1.507420633
24,1.941063464,2.517423606,1.327418396,1.864953277
25,1.568939636,2.034805018,1.07293727,1.507420633
26,1.739336989,2.255798472,1.189465445,1.67113661
27,1.568939636,2.034805018,1.07293727,1.507420633
28,1.912203037,2.479993651,1.307681864,1.837224484
29,1.568939636,2.034805018,1.07293727,1.507420633
30,0.730580394,0.947511694,0.512700205,0.701933927
31,0.55699668,0.722385752,0.380908534,0.535156528
32,1.248551401,1.619283877,0.85383612,1.199595
33,3.12146986,4.048328177,2.134652778,2.999075277
34,0.054257394,0.070368047,0.035525661,0.049911692
35,2.442944319,3.168327987,1.670635345,2.347155102
36,0.133178626,0.172723367,0.091075723,0.132932207
37,0.105417776,0.136719486,0.072091149,0.101284286
38,0.440905814,0.571824016,0.292531186,0.410990985
