,gbpm17,gbpm18,gbpm19,gbpm20,sage.real
1,1.33E-06,1.83E-06,2.07E-06,1.71E-06,10.47823954
2,4.26E-07,5.87E-07,6.62E-07,5.47E-07,10.14468737
3,7.40E-09,1.02E-08,1.15E-08,9.50E-09,9.042556536
4,2.13E-07,2.93E-07,3.30E-07,2.73E-07,9.946635298
5,6.89E-05,9.48E-05,0.00010694,8.84E-05,11.7434235
6,0.198556714,0.273437964,0.308300443,0.254951868,15.32317404
7,8.12E-11,1.12E-10,1.26E-10,1.04E-10,7.938155826
8,5.021838435,6.915713136,7.797444788,6.448168189,18.86485745
9,0.038108347,0.052480062,0.059171105,0.048932086,14.37464268
10,0.61692808,0.849588787,0.957908682,0.792151334,16.12276503
11,3.765152595,5.185096176,5.846179614,4.83455163,18.13357774
12,0.148898105,0.205051714,0.231195162,0.191188951,15.14312084
13,3.765306045,5.185307496,5.846417876,4.834748664,21.00036511
14,2.120347981,2.919990075,3.292279616,2.7225807,21.84041005
15,4.570446909,6.294089333,7.096565907,5.868569996,18.56514524
16,0.11470306,0.157960769,0.178100269,0.147281645,14.98600587
17,0.466472706,0.642392514,0.724295538,0.59896281,23.22469878
18,1.629211177,2.243631946,2.529687955,2.09194856,22.13548819
19,5.107100608,7.033130043,7.92983198,6.557646986,18.93319062
20,2.226391886,3.066026081,3.456934753,2.858743769,17.35257534
21,2.02E-06,2.78E-06,3.14E-06,2.60E-06,10.6036283
22,5.299780919,7.298475449,8.22900809,6.805053403,20.01524384
23,5.084139376,7.001509493,7.894179909,6.528164181,20.21982004
24,2.036084332,2.803948264,3.16144284,2.614384033,17.24575216
25,3.054974621,4.20709037,4.743481146,3.92266506,17.78148077
26,2.529855626,3.483934423,3.928125093,3.248398925,21.61904292
27,4.53170076,6.240730937,7.036404483,5.818818957,18.54236466
28,2.94246446,4.052149504,4.568785808,3.778199155,17.72538411
29,0.760580989,1.047417197,1.180959592,0.976605321,16.29168721
30,3.077761074,4.238470227,4.778861837,3.951923446,17.79280041
31,5.255633385,7.237678653,8.160459895,6.748366847,19.07075173
32,0.316172431,0.435409834,0.490923217,0.405973438,15.63158809
33,5.396442919,7.431591373,8.379095875,6.929169868,19.24622157
34,5.463590011,7.524061497,8.483355649,7.01538844,19.7563528
35,0.639414018,0.880554797,0.992822761,0.82102385,22.98295797
36,5.245635054,7.223909675,8.144935414,6.735528736,19.06045517
37,4.279969425,5.894064726,6.645539422,5.495589525,20.73311432
38,0.744937762,1.025874475,1.156670241,0.95651902,16.2745294
