Id,j100m_2017,j100m_2018,j100m_2019,j100m_2020
407,0,0,0,0
107,0.001,0.001,0.001,0
109,0,0,0,0
105,0.004,0.004,0.004,0
101,0.017,0.017,0,0
205,0.121,0.121,0.121,0.035
102,0.012,0.012,0.012,0
305,0.087,0.087,0.087,0.002
602,0.242,0.242,0.242,0.241
502,0.074,0.074,0.074,0.074
501,0.166,0.166,0.166,0.166
506,0.031,0.031,0.031,0.031
201,0.067,0.067,0.067,0
206,0.038,0.038,0.037,0.009
301,0.145,0.145,0.145,0.145
103,0,0,0,0
120,0.028,0.028,0.028,0
306,0.071,0.071,0.071,0
207,0.059,0.059,0.059,0
119,0.005,0.005,0.005,0
116,0.014,0.014,0.014,0
202,0.153,0.153,0.153,0
204,0.154,0.154,0.154,0.068
122,0.053,0.053,0.053,0.034
118,0.013,0.013,0.013,0.013
203,0.086,0.086,0.086,0.005
606,0.207,0.207,0.208,0.208
121,0.034,0.034,0.034,0.034
404,0.013,0.013,0.013,0.013
605,0.248,0.248,0.248,0.248
505,0.264,0.264,0.265,0.265
412,0,0,0,0
416,0.199,0.199,0.199,0.199
415,0.189,0.189,0.188,0.189
413,0.012,0.012,0.012,0.012
414,0,0,0,0
307,0.039,0.039,0.039,0
411,0.006,0.006,0.006,0.006
