Id,cliff,road,triangle,dist_pond,dist_stream,tri1k_mean,treatment,treatment,treatment,treatment
101,3328.071391,1341.713203,9340.984464,3738.249362,100.8673349,176.5844529,0,0,1,1
102,3631.264508,354.707165,6332.222774,807.1328561,2141.021755,383.7805186,0,0,0,1
103,2650.452742,62.44335467,1472.808768,67.72579029,863.442869,113.7882442,0,0,0,1
105,2215.207761,253.7782378,8938.560481,3764.30513,125.5621978,164.5277624,0,0,0,1
107,0,1804.456979,10183.71838,3526.206614,0,146.4820528,0,0,0,1
109,644.0527238,2581.760805,9992.370903,3993.708229,157.3439254,158.5215629,0,0,0,1
116,5272.746226,2448.55193,2222.268653,1360.567889,1963.909098,54.69935172,0,0,0,1
118,2010.958933,4499.855123,3828.906315,1950.5147,1895.795786,171.7036463,0,0,0,0
119,3134.009182,3224.853712,3542.598791,751.2048543,2598.496664,88.42271195,0,0,0,1
120,3029.160917,385.6437594,1819.212572,320.1973921,1408.891757,113.5909366,0,0,0,1
121,1889.562989,7380.207187,6035.624658,2773.694199,1170.123375,159.2246994,0,0,0,0
122,389.7460426,3929.080748,2623.886442,625.9599825,407.2198874,228.7321722,0,0,0,0
201,4783.026874,733.7493676,1462.867888,1297.827665,166.2892161,104.038515,0,0,0,1
202,1184.584472,2808.52758,2067.837246,844.4978263,1220.008793,141.85196,0,0,0,1
203,593.996654,5324.034235,3981.257296,1771.182707,536.7369266,244.9786872,0,0,0,1
204,1756.36775,3357.007273,2974.486826,808.7019829,1740.989279,143.2408413,0,0,0,0
205,4175.936473,1868.073128,7572.030268,4865.632112,0,335.8890219,0,0,0,0
206,3380.691259,224.1098561,1910.857728,300.8830507,289.6550041,124.5527929,0,0,0,1
207,2714.378341,2687.065911,2811.883608,154.0648186,2175.019403,79.14943914,0,0,0,1
301,3437.163725,536.0835249,2076.988296,140.9571145,888.6023816,111.0481746,0,0,0,0
305,3665.724324,362.466494,6297.529304,2420.360043,1356.984897,357.6334251,0,0,0,1
306,2899.443059,1593.007661,2395.963117,158.3167262,1993.038901,95.24955574,0,0,0,1
307,2576.793832,830.2946607,1101.879706,478.9983561,730.0937933,108.4178527,0,0,0,1
404,3182.939108,8821.647964,7498.138789,2582.335579,1006.663117,146.5151918,0,0,0,0
407,1502.298564,1473.299714,13564.46945,620.149746,1368.830363,92.73255409,0,0,0,0
411,2140.645572,10025.20926,8681.055506,561.221318,2053.286164,131.9560541,0,0,0,0
412,3736.000501,9171.551547,9614.374519,1388.151552,1206.558638,133.4319086,0,0,0,0
413,8256.45176,2529.766754,2605.465754,134.3873316,1722.107293,140.3588659,0,0,0,0
414,10816.80406,5098.625788,5272.43437,1251.526515,1944.035692,112.2782272,0,0,0,0
415,4844.537899,1921.862259,7894.40813,1573.814013,1607.149202,74.68554855,0,0,0,0
416,4665.235614,2285.720274,8446.658998,1093.609188,1159.031499,103.4743929,0,0,0,0
501,8196.402933,3373.568084,3309.58888,525.5007216,2346.674511,131.9553641,0,0,0,0
502,8070.384458,918.660918,933.6463316,786.9912009,739.0006064,78.65020702,0,0,0,0
505,5028.033346,9294.236592,9248.289703,2682.997152,882.6159255,165.7043447,0,0,0,0
506,8643.019689,1892.967222,1767.902492,846.5145436,1647.043997,94.2796949,0,0,0,0
602,3337.550392,0,2746.132899,1858.265968,0,223.0030263,0,0,0,0
605,3448.041694,8895.001564,7645.530999,2942.811768,300.1401739,171.0298217,0,0,0,0
606,873.2676257,6512.126765,5185.818525,2991.097661,306.1814972,257.6488289,0,0,0,0
